TipoInstituicao,CodInst,AnoMes,NomeRelatorio,NumeroRelatorio,Grupo,Conta,NomeColuna,DescricaoColuna,Saldo
1,00309024,202403,Resumo,1,,78185,Captações,[41000007] + [42000006] + [43000005] + [46000002],547932.91
1,00309024,202403,Resumo,1,,78186,Patrimônio Líquido,[60000002] + [70000009]+ [80000006],703826352.65
1,00309024,202403,Resumo,1,,78187,Lucro Líquido,[70000009]+[80000006]-[81956001],17146694.48
1,00309024,202403,Resumo,1,,79649,Patrimônio de Referência para Comparação com o RWA,Montante de capital regulatório formado pela soma das parcelas de Capital Nível I e Capital Nível II,465114277.27
1,00309024,202403,Resumo,1,,79662,Índice de Imobilização,Relação entre Ativo Permanente e Patrimônio de Referência,0.0248479463108183
1,00309024,202403,Resumo,1,,79664,Índice de Basileia,Relação entre o Patrimônio de Referência e os Ativos ponderados pelo risco,0.155367050321824
1,00315557,202403,Resumo,1,,78182,Ativo Total,[10000007] + [20000004],1127898872.2
1,00315557,202403,Resumo,1,,78183,Carteira de Crédito Classificada,[31000000],0.0
1,00315557,202403,Resumo,1,,78184,Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros,[40000008] + [50000005],856187292.91
1,00315557,202403,Resumo,1,,78185,Captações,[41000007] + [42000006] + [43000005] + [46000002],0.0
1,00315557,202403,Resumo,1,,78186,Patrimônio Líquido,[60000002] + [70000009]+ [80000006],271711579.29
1,00315557,202403,Resumo,1,,78187,Lucro Líquido,[70000009]+[80000006]-[81956001],5315128.8
1,00315557,202403,Resumo,1,,79649,Patrimônio de Referência para Comparação com o RWA,Montante de capital regulatório formado pela soma das parcelas de Capital Nível I e Capital Nível II,96808233.21
1,00315557,202403,Resumo,1,,79662,Índice de Imobilização,Relação entre Ativo Permanente e Patrimônio de Referência,0.26262076547611
1,00315557,202403,Resumo,1,,79664,Índice de Basileia,Relação entre o Patrimônio de Referência e os Ativos ponderados pelo risco,0.450120948234529
1,00429890,202403,Resumo,1,,78182,Ativo Total,[10000007] + [20000004],339248971.56
1,00429890,202403,Resumo,1,,78183,Carteira de Crédito Classificada,[31000000],226830990.48
1,00429890,202403,Resumo,1,,78184,Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros,[40000008] + [50000005],285925090.99
1,00429890,202403,Resumo,1,,78185,Captações,[41000007] + [42000006] + [43000005] + [46000002],170084579.29
1,00429890,202403,Resumo,1,,78186,Patrimônio Líquido,[60000002] + [70000009]+ [80000006],53323880.57
1,00429890,202403,Resumo,1,,78187,Lucro Líquido,[70000009]+[80000006]-[81956001],718911.590000001
1,00429890,202403,Resumo,1,,79649,Patrimônio de Referência para Comparação com o RWA,Montante de capital regulatório formado pela soma das parcelas de Capital Nível I e Capital Nível II,47792531.93
1,00429890,202403,Resumo,1,,79662,Índice de Imobilização,Relação entre Ativo Permanente e Patrimônio de Referência,0.222415040608626
1,00429890,202403,Resumo,1,,79664,Índice de Basileia,Relação entre o Patrimônio de Referência e os Ativos ponderados pelo risco,0.206793993139971
1,00512839,202403,Resumo,1,,78182,Ativo Total,[10000007] + [20000004],7397759.13
1,00512839,202403,Resumo,1,,78183,Carteira de Crédito Classificada,[31000000],5679608.88
1,00512839,202403,Resumo,1,,78184,Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros,[40000008] + [50000005],2963589.07
1,00512839,202403,Resumo,1,,78185,Captações,[41000007] + [42000006] + [43000005] + [46000002],2625322.98
1,00512839,202403,Resumo,1,,78186,Patrimônio Líquido,[60000002] + [70000009]+ [80000006],4434170.06
